word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
maintain,meɪnˈteɪn,to make something continue at the same level,维持；保持；维护,verb,4,1,cet4 cet6 ielts,1234,860,p:maintained/d:maintained/i:maintaining/3:maintains,,
go,ɡəʊ,to move or travel from one place to another,去；前往；进行,verb,5,1,cet4,20,15,p:went/d:gone/i:going/3:goes,,
child,tʃaɪld,a young human being,儿童；孩子,noun,5,1,cet4,150,120,s:children,,
good,ɡʊd,of high quality or pleasant,好的；优秀的；有益的,adjective,5,1,cet4,100,60,r:better/t:best,,
take,teɪk,to move something into your possession,拿；取得；花费,verb,5,1,cet4,50,40,p:took/d:taken/i:taking/3:takes,,
study,ˈstʌdi,to learn about a subject,学习；研究,noun verb,5,1,cet4,500,420,p:studied/d:studied/i:studying/3:studies,,
run,rʌn,to move quickly on foot,跑步；运行；经营,verb,5,1,cet4,300,210,p:ran/d:run/i:running/3:runs,,
read,riːd,to look at and understand written words,阅读；读懂,verb,5,1,cet4,240,180,p:read/d:read/i:reading/3:reads,,
learn,lɜːn,to gain knowledge or skill,学习；得知,verb,5,1,cet4,420,330,p:learned/d:learned/i:learning/3:learns,,
exercise,ˈeksəsaɪz,physical activity that keeps the body healthy,锻炼；练习,noun verb,4,1,cet4,1400,900,p:exercised/d:exercised/i:exercising/3:exercises,,
health,helθ,the condition of the body and mind,健康；卫生,noun,5,1,cet4 ielts,650,400,,,
brain,breɪn,the organ inside the head used for thinking,大脑；头脑,noun,5,1,cet4,1200,760,s:brains,,
environment,ɪnˈvaɪrənmənt,the natural world or surrounding conditions,环境；周围状况,noun,5,1,cet4 cet6 ielts,900,600,s:environments,,
well-known,ˌwel ˈnəʊn,known by many people,著名的；众所周知的,adjective,3,1,cet4,2500,1800,,,
word,wɜːd,a single unit of language,单词；话语,noun,5,1,cet4,200,100,s:words,,
